MovieID,Count
0000001,547
0000002,145
0000003,2012
0000004,142
0000005,1140
0000006,1019
0000007,93
0000008,14910
0000009,95
0000010,249
0000011,198
0000012,546
0000013,125
0000014,118
0000015,290
0000016,2699
0000017,7108
0000018,10722
0000019,539
0000020,116
0000021,218
0000022,203
0000023,615
0000024,1333
0000025,1207
0000026,5861
0000027,273
0000028,39752
0000029,523
0000030,118413
0000031,221
0000032,1854
0000033,6890
0000034,108
0000035,839
0000036,939
0000037,281
0000038,802
0000039,752
0000040,491
0000041,93
0000042,128
0000043,105
0000044,8501
0000045,2619
0000046,6558
0000047,2350
0000048,3591
0000049,231
0000050,328
0000051,90
0000052,5147
0000053,114
0000054,159
0000055,2406
0000056,1833
0000057,3562
0000058,17405
0000059,204
0000060,295
0000061,147
0000062,290
0000063,184
0000064,95
0000065,258
0000066,166
0000067,289
0000068,2216
0000069,116
0000070,343
0000071,1561
0000072,179
0000073,747
0000074,388
0000075,219
0000076,2954
0000077,13598
0000078,4850
0000079,3397
0000080,274
0000081,1249
0000082,119
0000083,18724
0000084,2752
0000085,266
0000086,176
0000087,117
0000088,978
0000089,878
0000090,625
0000091,567
0000092,161
0000093,174
0000094,342
0000095,935
0000096,488
0000097,11508
0000098,130
0000099,126
0000100,78
0000101,330
0000102,330
0000103,209
0000104,3500
0000105,192
0000106,940
0000107,829
0000108,19018
0000109,545
0000110,2159
0000111,30127
0000112,239
0000113,1393
0000114,428
0000115,666
0000116,1126
0000117,981
0000118,19240
0000119,96
0000120,339
0000121,99
0000122,3382
0000123,276
0000124,169
0000125,1729
0000126,1184
0000127,3014
0000128,417
0000129,756
0000130,86
0000131,705
0000132,830
0000133,2563
0000134,99
0000135,384
0000136,120
0000137,204
0000138,6007
0000139,96
0000140,119
0000141,126
0000142,326
0000143,38362
0000144,289
0000145,455
0000146,366
0000147,131
0000148,22194
0000149,62
0000150,265
0000151,176
0000152,9162
0000153,321
0000154,158
0000155,980
0000156,8179
0000157,705
0000158,374
0000159,164
0000160,899
0000161,649
0000162,474
0000163,193
0000164,652
0000165,4588
0000166,9435
0000167,9151
0000168,1353
0000169,335
0000170,215
0000171,6190
0000172,322
0000173,2236
0000174,191
0000175,90450
0000176,210
0000177,241
0000178,1931
0000179,286
0000180,2418
0000181,3558
0000182,234
0000183,163
0000184,399
0000185,2297
0000186,291
0000187,20049
0000188,2549
0000189,14137
0000190,104
0000191,98720
0000192,275
0000193,121
0000194,646
0000195,185
0000196,154
0000197,81260
0000198,194
0000199,35509
0000200,129
0000201,2724
0000202,382
0000203,96
0000204,230
0000205,513
0000206,1096
0000207,258
0000208,2196
0000209,4373
0000210,687
0000211,654
0000212,890
0000213,3482
0000214,124
0000215,5817
0000216,8895
0000217,425
0000218,115
0000219,111
0000220,221
0000221,161
0000222,99
0000223,24125
0000224,1086
0000225,7395
0000226,189
0000227,1330
0000228,95
0000229,652
0000230,126
0000231,768
0000232,4976
0000233,418
0000234,97
0000235,442
0000236,125
0000237,348
0000238,2335
0000239,2190
0000240,5184
0000241,43122
0000242,2375
0000243,119
0000244,105
0000245,91
0000246,431
0000247,653
0000248,6161
0000249,197
0000250,773
0000251,1204
0000252,24387
0000253,5050
0000254,190
0000255,4586
0000256,12264
0000257,27357
0000258,164
0000259,876
0000260,205
0000261,526
0000262,4378
0000263,900
0000264,134
0000265,308
0000266,126
0000267,1162
0000268,5545
0000269,21467
0000270,36431
0000271,478
0000272,62
0000273,32027
0000274,774
0000275,10603
0000276,115
0000277,157
0000278,83
0000279,737
0000280,539
0000281,3217
0000282,393
0000283,6376
0000284,97
0000285,14008
0000286,191
0000287,250
0000288,1148
0000289,4412
0000290,47651
0000291,108
0000292,534
0000293,408
0000294,462
0000295,28954
0000296,116
0000297,1956
0000298,455
0000299,76944
0000300,112
0000301,175
0000302,879
0000303,225
0000304,3427
0000305,12820
0000306,197
0000307,122
0000308,200
0000309,453
0000310,445
0000311,24835
0000312,65477
0000313,99812
0000314,514
0000315,109
0000316,2520
0000317,94
0000318,95
0000319,119
0000320,124
0000321,144
0000322,898
0000323,712
0000324,391
0000325,1121
0000326,165
0000327,178
0000328,197
0000329,66266
0000330,27038
0000331,47167
0000332,149
0000333,393
0000334,39875
0000335,149
0000336,199
0000337,2293
0000338,1402
0000339,553
0000340,178
0000341,1862
0000342,1358
0000343,92
0000344,2604
0000345,4175
0000346,485
0000347,108
0000348,12739
0000349,583
0000350,1151
0000351,129
0000352,119
0000353,20460
0000354,142
0000355,150
0000356,1870
0000357,77314
0000358,3008
0000359,4580
0000360,2231
0000361,35849
0000362,3936
0000363,1643
0000364,123
0000365,260
0000366,350
0000367,12437
0000368,1395
0000369,962
0000370,484
0000371,2004
0000372,148
0000373,85
0000374,243
0000375,2064
0000376,193
0000377,112
0000378,8185
0000379,158
0000380,529
0000381,6660
0000382,158
0000383,223
0000384,1438
0000385,9368
0000386,1469
0000387,588
0000388,217
0000389,391
0000390,5242
0000391,572
0000392,60
0000393,11893
0000394,1617
0000395,1822
0000396,204
0000397,748
0000398,3565
0000399,125
0000400,3693
0000401,3246
0000402,122
0000403,440
0000404,458
0000405,7121
0000406,48617
0000407,219
0000408,2821
0000409,447
0000410,1009
0000411,203
0000412,320
0000413,29909
0000414,1428
0000415,126
0000416,11256
0000417,1465
0000418,2061
0000419,601
0000420,4495
0000421,987
0000422,5498
0000423,296
0000424,14120
0000425,4532
0000426,4217
0000427,2681
0000428,115
0000429,1219
0000430,1546
0000431,3449
0000432,2714
0000433,10043
0000434,138
0000435,343
0000436,3485
0000437,165
0000438,3712
0000439,688
0000440,107
0000441,340
0000442,25292
0000443,36515
0000444,90
0000445,7534
0000446,719
0000447,91
0000448,189
0000449,90
0000450,137
0000451,1112
0000452,2430
0000453,426
0000454,1833
0000455,784
0000456,2450
0000457,116762
0000458,355
0000459,7271
0000460,344
0000461,544
0000462,778
0000463,2286
0000464,82
0000465,100
0000466,362
0000467,1055
0000468,60415
0000469,105
0000470,579
0000471,4500
0000472,515
0000473,23602
0000474,3035
0000475,1041
0000476,2027
0000477,2241
0000478,431
0000479,1772
0000480,359
0000481,376
0000482,56504
0000483,90010
0000484,232
0000485,1326
0000486,3900
0000487,277
0000488,3247
0000489,4826
0000490,873
0000491,288
0000492,1723
0000493,106
0000494,27601
0000495,539
0000496,235
0000497,575
0000498,282
0000499,5788
0000500,532
0000501,15179
0000502,1577
0000503,251
0000504,2343
0000505,2375
0000506,157
0000507,1309
0000508,194
0000509,186
0000510,184
0000511,1713
0000512,297
0000513,424
0000514,867
0000515,132
0000516,20181
0000517,6567
0000518,2268
0000519,341
0000520,175
0000521,132
0000522,320
0000523,294
0000524,6136
0000525,145
0000526,581
0000527,271
0000528,28454
0000529,489
0000530,156
0000531,406
0000532,1057
0000533,5915
0000534,5317
0000535,6110
0000536,416
0000537,187
0000538,202
0000539,228
0000540,162
0000541,104
0000542,171
0000543,1209
0000544,153
0000545,338
0000546,156
0000547,599
0000548,7739
0000549,72
0000550,33797
0000551,14822
0000552,730
0000553,599
0000554,5890
0000555,1050
0000556,629
0000557,173
0000558,577
0000559,115
0000560,1706
0000561,2800
0000562,86
0000563,10846
0000564,10825
0000565,132
0000566,651
0000567,180
0000568,184
0000569,4350
0000570,262
0000571,154832
0000572,560
0000573,204
0000574,108
0000575,2122
0000576,647
0000577,2094
0000578,234
0000579,2047
0000580,8265
0000581,84
0000582,2213
0000583,155
0000584,1008
0000585,1983
0000586,2336
0000587,528
0000588,2053
0000589,599
0000590,177
0000591,514
0000592,137
0000593,92
0000594,294
0000595,1622
0000596,1161
0000597,216
0000598,247
0000599,9746
0000600,2910
0000601,406
0000602,1192
0000603,401
0000604,115
0000605,238
0000606,844
0000607,100248
0000608,68
0000609,770
0000610,104
0000611,146
0000612,254
0000613,580
0000614,142
0000615,13788
0000616,114
0000617,795
0000618,361
0000619,266
0000620,670
0000621,8552
0000622,347
0000623,239
0000624,1094
0000625,596
0000626,297
0000627,98
0000628,664
0000629,11816
0000630,245
0000631,8299
0000632,728
0000633,421
0000634,1532
0000635,141
0000636,13719
0000637,696
0000638,4165
0000639,191
0000640,437
0000641,1199
0000642,1236
0000643,3280
0000644,302
0000645,8685
0000646,4035
0000647,691
0000648,170
0000649,80
0000650,439
0000651,144
0000652,5129
0000653,136
0000654,85
0000655,817
0000656,119
0000657,1930
0000658,44001
0000659,2989
